# Depth profile  iter=18
# Col 1: depth index
# Col 2: tau_mid [Thomson]
# Col 3: T_K [K]
# Col 4: n_e [cm^-3]
# Col 5: heating [erg cm^-3 s^-1]
# Col 6: cooling [erg cm^-3 s^-1]
# Col 7: log_xi = log10(4piJ) [erg cm^-2 s^-1]
0  5.000000e-05  5.486293e+04  1.204829e+15  2.724861e+07  2.716198e+07  1.218136e+00
1  1.036207e-04  5.485355e+04  1.208398e+15  2.732520e+07  2.733355e+07  1.218050e+00
2  1.115909e-04  5.484225e+04  1.204808e+15  2.726620e+07  2.717911e+07  1.217946e+00
3  1.212013e-04  5.482865e+04  1.208395e+15  2.734664e+07  2.735539e+07  1.217820e+00
4  1.328738e-04  5.481188e+04  1.208393e+15  2.736120e+07  2.736996e+07  1.217665e+00
5  1.471633e-04  5.479120e+04  1.208391e+15  2.737912e+07  2.738791e+07  1.217472e+00
6  1.648074e-04  5.476546e+04  1.208388e+15  2.740138e+07  2.741022e+07  1.217231e+00
7  1.867957e-04  5.473306e+04  1.208384e+15  2.742936e+07  2.743824e+07  1.216925e+00
8  2.144710e-04  5.469181e+04  1.208379e+15  2.746492e+07  2.747384e+07  1.216532e+00
9  2.496743e-04  5.463864e+04  1.208373e+15  2.751061e+07  2.751965e+07  1.216021e+00
10  2.949554e-04  5.456914e+04  1.208365e+15  2.757024e+07  2.757940e+07  1.215345e+00
11  3.538839e-04  5.447689e+04  1.208354e+15  2.764927e+07  2.765859e+07  1.214439e+00
12  4.315067e-04  5.435240e+04  1.208339e+15  2.775594e+07  2.776540e+07  1.213204e+00
13  5.350291e-04  5.418129e+04  1.208318e+15  2.790284e+07  2.791250e+07  1.211493e+00
14  6.748300e-04  5.394109e+04  1.208288e+15  2.811042e+07  2.812018e+07  1.209082e+00
15  8.659814e-04  5.359608e+04  1.208241e+15  2.841186e+07  2.842284e+07  1.205632e+00
16  1.130523e-03  5.308410e+04  1.208168e+15  2.887054e+07  2.888169e+07  1.200618e+00
17  1.500860e-03  5.229607e+04  1.202546e+15  2.950218e+07  2.936802e+07  1.193241e+00
18  2.024819e-03  5.098231e+04  1.207781e+15  3.103335e+07  3.105184e+07  1.182063e+00
19  2.773108e-03  4.841225e+04  1.206977e+15  3.426139e+07  3.430460e+07  1.164110e+00
20  3.850188e-03  4.303448e+04  1.195280e+15  4.019366e+07  4.018399e+07  1.132766e+00
21  5.409864e-03  3.045217e+04  1.104750e+15  3.223483e+07  3.219589e+07  1.099027e+00
22  7.677164e-03  2.499316e+04  1.103339e+15  2.306557e+07  2.306070e+07  1.077690e+00
23  1.097815e-02  2.392297e+04  1.103356e+15  2.042743e+07  2.043098e+07  1.059868e+00
24  1.577911e-02  2.360389e+04  1.102912e+15  1.904553e+07  1.904935e+07  1.046986e+00
25  2.273576e-02  2.675032e+04  1.103355e+15  1.423767e+07  1.424173e+07  1.041310e+00
26  3.275136e-02  2.636144e+04  1.103037e+15  1.361807e+07  1.362328e+07  1.036292e+00
27  4.703993e-02  2.600000e+04  1.102829e+15  1.328806e+07  1.329998e+07  1.029901e+00
28  6.718712e-02  2.564679e+04  1.102670e+15  1.312866e+07  1.315898e+07  1.021875e+00
29  9.519709e-02  2.535909e+04  1.102410e+15  1.301790e+07  1.302043e+07  1.011553e+00
30  1.335104e-01  2.522007e+04  1.102520e+15  1.284786e+07  1.285616e+07  9.982904e-01
31  1.849763e-01  2.514510e+04  1.102497e+15  1.267176e+07  1.269771e+07  9.808972e-01
32  2.527658e-01  2.507328e+04  1.102479e+15  1.252416e+07  1.253211e+07  9.584580e-01
33  3.402180e-01  2.501146e+04  1.102341e+15  1.238513e+07  1.238763e+07  9.309625e-01
34  4.506235e-01  2.496061e+04  1.102449e+15  1.225431e+07  1.227107e+07  8.988157e-01
35  5.869621e-01  2.491190e+04  1.102436e+15  1.213691e+07  1.215958e+07  8.625481e-01
36  7.516239e-01  2.486652e+04  1.102425e+15  1.203596e+07  1.205704e+07  8.229773e-01
37  9.461504e-01  2.482677e+04  1.102415e+15  1.195058e+07  1.196841e+07  7.811792e-01
38  1.171031e+00  2.479405e+04  1.102406e+15  1.187801e+07  1.189621e+07  7.384826e-01
39  1.425590e+00  2.476358e+04  1.102399e+15  1.182270e+07  1.182981e+07  6.963098e-01
40  1.707968e+00  2.474387e+04  1.102393e+15  1.177532e+07  1.178734e+07  6.561621e-01
41  2.015219e+00  2.472720e+04  1.102387e+15  1.173885e+07  1.175164e+07  6.191165e-01
42  2.343483e+00  2.471635e+04  1.102383e+15  1.171108e+07  1.172881e+07  5.860306e-01
43  2.688231e+00  2.470767e+04  1.102380e+15  1.169128e+07  1.171065e+07  5.571907e-01
44  3.044536e+00  2.470027e+04  1.102378e+15  1.167626e+07  1.169522e+07  5.323374e-01
45  3.407350e+00  2.469087e+04  1.102376e+15  1.166854e+07  1.167570e+07  5.106576e-01
46  3.771752e+00  2.468844e+04  1.102374e+15  1.165510e+07  1.167143e+07  4.905340e-01
47  4.133157e+00  2.467902e+04  1.102370e+15  1.163652e+07  1.165268e+07  4.674978e-01
48  4.487471e+00  2.465205e+04  1.102362e+15  1.157999e+07  1.159788e+07  4.263194e-01
49  4.831189e+00  2.452017e+04  1.102275e+15  1.128180e+07  1.130679e+07  8.486451e-02
