READ SERR 1
@_compps_qdp_tmp.pco
!
3.25467177E-2 1.87351892E-4 1.56486859E-8
3.29235904E-2 1.89521335E-4 1.59754183E-8
3.33048292E-2 1.91715881E-4 1.63085332E-8
3.36904787E-2 1.93935848E-4 1.66481406E-8
3.40805985E-2 1.96181514E-4 1.69943526E-8
3.44752334E-2 1.98453199E-4 1.73472792E-8
3.48744355E-2 2.00751179E-4 1.77070341E-8
3.52782644E-2 2.03075761E-4 1.80737345E-8
3.56867649E-2 2.05427277E-4 1.8447496E-8
3.61000001E-2 2.07806006E-4 1.88284339E-8
3.65180187E-2 2.10212282E-4 1.92166709E-8
3.69408764E-2 2.12646424E-4 1.9612326E-8
3.73686329E-2 2.15108754E-4 2.00155217E-8
3.78013402E-2 2.17599605E-4 2.04263824E-8
3.82390581E-2 2.20119284E-4 2.08450306E-8
3.86818461E-2 2.22668154E-4 2.12715943E-8
3.91297601E-2 2.2524652E-4 2.17061995E-8
3.95828635E-2 2.27854762E-4 2.21489778E-8
4.0041212E-2 2.30493184E-4 2.26000587E-8
4.05048653E-2 2.3316218E-4 2.30595738E-8
4.09738906E-2 2.3586207E-4 2.35276563E-8
4.14483435E-2 2.38593217E-4 2.40044411E-8
4.1928295E-2 2.41356E-4 2.4490058E-8
4.2413801E-2 2.44150782E-4 2.49846455E-8
4.29049283E-2 2.46977899E-4 2.54883386E-8
4.34017442E-2 2.49837758E-4 2.6001274E-8
4.39043157E-2 2.52730766E-4 2.65235904E-8
4.44127023E-2 2.55657244E-4 2.70554281E-8
4.49269786E-2 2.58617598E-4 2.75969274E-8
4.5447208E-2 2.61612266E-4 2.81482286E-8
4.59734611E-2 2.64641596E-4 2.87094775E-8
4.65058088E-2 2.67705997E-4 2.92808142E-8
4.70443182E-2 2.70805875E-4 2.98623846E-8
4.75890674E-2 2.73941667E-4 3.04543377E-8
4.81401235E-2 2.77113752E-4 3.1056814E-8
4.8697561E-2 2.80322594E-4 3.16699662E-8
4.92614508E-2 2.83568574E-4 3.229394E-8
4.98318709E-2 2.86852155E-4 3.29288845E-8
5.04088961E-2 2.90173746E-4 3.35749526E-8
5.09926043E-2 2.93533783E-4 3.42322899E-8
5.15830703E-2 2.96932732E-4 3.49010527E-8
5.21803759E-2 3.00371059E-4 3.55813867E-8
5.27845956E-2 3.038492E-4 3.62734411E-8
5.33958115E-2 3.0736762E-4 3.69773652E-8
5.40141053E-2 3.10926756E-4 3.7693308E-8
5.46395592E-2 3.14527104E-4 3.84214154E-8
5.52722551E-2 3.18169157E-4 3.91618435E-8
5.59122786E-2 3.21853382E-4 3.99147346E-8
5.65597117E-2 3.25580273E-4 4.06802414E-8
5.72146438E-2 3.29350325E-4 4.14585131E-8
5.78771569E-2 3.33164033E-4 4.22496953E-8
5.85473441E-2 3.37021891E-4 4.30539409E-8
5.9225291E-2 3.40924395E-4 4.38713954E-8
5.99110872E-2 3.44872125E-4 4.47022046E-8
6.06048256E-2 3.48865549E-4 4.55465212E-8
6.13065958E-2 3.52905219E-4 4.64044874E-8
6.20164908E-2 3.56991688E-4 4.72762487E-8
6.27346113E-2 3.61125451E-4 4.81619544E-8
6.34610429E-2 3.65307089E-4 4.90617467E-8
6.41958863E-2 3.69537156E-4 4.99757711E-8
6.49392381E-2 3.73816176E-4 5.09041627E-8
6.56912029E-2 3.78144759E-4 5.18470671E-8
6.64518699E-2 3.82523489E-4 5.28046087E-8
6.72213435E-2 3.86952888E-4 5.37769189E-8
6.7999728E-2 3.91433598E-4 5.47641292E-8
6.87871277E-2 3.9596617E-4 5.5766364E-8
6.9583647E-2 4.00551246E-4 5.67837475E-8
7.038939E-2 4.05189407E-4 5.78164006E-8
7.12044612E-2 4.09881293E-4 5.8864444E-8
7.20289722E-2 4.14627488E-4 5.99279915E-8
7.28630275E-2 4.19428659E-4 6.10071567E-8
7.37067387E-2 4.24285419E-4 6.21020462E-8
7.4560225E-2 4.29198408E-4 6.32127808E-8
7.54235908E-2 4.34168294E-4 6.43394458E-8
7.62969553E-2 4.39195719E-4 6.54821548E-8
7.71804303E-2 4.44281352E-4 6.66410074E-8
7.80741349E-2 4.4942589E-4 6.78160816E-8
7.89781958E-2 4.54630004E-4 6.90074842E-8
7.98927173E-2 4.59894363E-4 7.0215286E-8
8.08178335E-2 4.65219695E-4 7.14395796E-8
8.17536563E-2 4.70606697E-4 7.26804359E-8
8.27003196E-2 4.7605607E-4 7.39379189E-8
8.36579427E-2 4.81568539E-4 7.52120783E-8
8.46266598E-2 4.87144833E-4 7.6502964E-8
8.56065899E-2 4.92785708E-4 7.78106184E-8
8.65978673E-2 4.98491863E-4 7.91350772E-8
8.76006261E-2 5.04264142E-4 8.04763616E-8
8.86149928E-2 5.10103244E-4 8.18345072E-8
8.96411017E-2 5.16009983E-4 8.32095211E-8
9.06791016E-2 5.21985115E-4 8.46014103E-8
9.1729112E-2 5.28029399E-4 8.60101821E-8
9.27912891E-2 5.34143706E-4 8.74358221E-8
9.38657597E-2 5.40328794E-4 8.88783234E-8
9.49526727E-2 5.46585477E-4 9.03376645E-8
9.60521698E-2 5.52914629E-4 9.18138099E-8
9.71644074E-2 5.59317123E-4 9.33067241E-8
9.82895121E-2 5.65793656E-4 9.48163574E-8
9.94276553E-2 5.72345278E-4 9.63426601E-8
0.100578971 5.78972686E-4 9.7885561E-8
0.101743624 5.85676928E-4 9.9444982E-8
0.102921762 5.92458702E-4 1.01020852E-7
0.104113534 5.99319057E-4 1.02613051E-7
0.105319113 6.06258865E-4 1.04221456E-7
0.106538653 6.13279E-4 1.05845928E-7
0.107772313 6.20380451E-4 1.07486308E-7
0.109020256 6.27564092E-4 1.09142441E-7
0.110282652 6.34830969E-4 1.10814156E-7
