READ SERR 1
@_compps_qdp_tmp.pco
!
1.00578973E-2 5.78972722E-5 5.67312552E-9
1.0174362E-2 5.85676898E-5 5.80143844E-9
1.02921762E-2 5.92458709E-5 5.93260818E-9
1.04113538E-2 5.99319064E-5 6.06669692E-9
1.05319116E-2 6.06258873E-5 6.20376772E-9
1.06538655E-2 6.13278971E-5 6.34388542E-9
1.07772313E-2 6.20380451E-5 6.48711573E-9
1.09020257E-2 6.27564077E-5 6.63352617E-9
1.10282646E-2 6.3483094E-5 6.78318512E-9
1.11559667E-2 6.42181985E-5 6.93616276E-9
1.12851467E-2 6.49618087E-5 7.09253101E-9
1.14158224E-2 6.57140263E-5 7.25236227E-9
1.15480116E-2 6.64749605E-5 7.41573158E-9
1.16817309E-2 6.72447059E-5 7.5827149E-9
1.18169989E-2 6.80233643E-5 7.75338993E-9
1.19538335E-2 6.88110376E-5 7.92783617E-9
1.20922523E-2 6.96078278E-5 8.10613354E-9
1.22322738E-2 7.04138511E-5 8.28836644E-9
1.23739168E-2 7.12292021E-5 8.47461656E-9
1.25171999E-2 7.20539974E-5 8.66497274E-9
1.26621425E-2 7.2888346E-5 8.85952023E-9
1.28087634E-2 7.37323498E-5 9.05834963E-9
1.29570812E-2 7.45861325E-5 9.26155241E-9
1.31071173E-2 7.54498033E-5 9.46922096E-9
1.32588912E-2 7.63234711E-5 9.6814512E-9
1.34124216E-2 7.72072526E-5 9.89833904E-9
1.35677299E-2 7.81012714E-5 1.01199831E-8
1.37248375E-2 7.90056365E-5 1.03464846E-8
1.3883763E-2 7.9920479E-5 1.05779456E-8
1.40445298E-2 8.08459154E-5 1.08144711E-8
1.42071573E-2 8.17820692E-5 1.10561684E-8
1.43716689E-2 8.27290642E-5 1.13031451E-8
1.45380851E-2 8.36870167E-5 1.15555139E-8
1.47064282E-2 8.46560652E-5 1.18133876E-8
1.48767205E-2 8.56363404E-5 1.20768817E-8
1.50489844E-2 8.66279588E-5 1.23461135E-8
1.52232433E-2 8.7631066E-5 1.26212036E-8
1.53995203E-2 8.86457856E-5 1.29022748E-8
1.55778388E-2 8.96722559E-5 1.31894522E-8
1.5758222E-2 9.0710615E-5 1.34828637E-8
1.59406923E-2 9.17609941E-5 1.37826373E-8
1.61252767E-2 9.28235313E-5 1.40889078E-8
