READ SERR 1
@_compps_qdp_tmp.pco
!
1.00578973E-2 5.78972722E-5 2.30036393E-10
1.0174362E-2 5.85676898E-5 2.35201497E-10
1.02921762E-2 5.92458709E-5 2.40480358E-10
1.04113538E-2 5.99319064E-5 2.45875376E-10
1.05319116E-2 6.06258873E-5 2.51389021E-10
1.06538655E-2 6.13278971E-5 2.57023847E-10
1.07772313E-2 6.20380451E-5 2.62782407E-10
1.09020257E-2 6.27564077E-5 2.68667338E-10
1.10282646E-2 6.3483094E-5 2.74681305E-10
1.11559667E-2 6.42181985E-5 2.80827084E-10
1.12851467E-2 6.49618087E-5 2.87107421E-10
1.14158224E-2 6.57140263E-5 2.93525176E-10
1.15480116E-2 6.64749605E-5 3.00083264E-10
1.16817309E-2 6.72447059E-5 3.06784625E-10
1.18169989E-2 6.80233643E-5 3.13632287E-10
1.19538335E-2 6.88110376E-5 3.20629329E-10
1.20922523E-2 6.96078278E-5 3.27778915E-10
1.22322738E-2 7.04138511E-5 3.35084238E-10
1.23739168E-2 7.12292021E-5 3.42548545E-10
1.25171999E-2 7.20539974E-5 3.50175167E-10
1.26621425E-2 7.2888346E-5 3.57967544E-10
1.28087634E-2 7.37323498E-5 3.6592912E-10
1.29570812E-2 7.45861325E-5 3.74063419E-10
1.31071173E-2 7.54498033E-5 3.82374021E-10
1.32588912E-2 7.63234711E-5 3.90864646E-10
1.34124216E-2 7.72072526E-5 3.99538985E-10
1.35677299E-2 7.81012714E-5 4.08400869E-10
1.37248375E-2 7.90056365E-5 4.17454155E-10
1.3883763E-2 7.9920479E-5 4.26702812E-10
1.40445298E-2 8.08459154E-5 4.36150893E-10
1.42071573E-2 8.17820692E-5 4.45802451E-10
1.43716689E-2 8.27290642E-5 4.55661731E-10
1.45380851E-2 8.36870167E-5 4.65733008E-10
1.47064282E-2 8.46560652E-5 4.76020556E-10
1.48767205E-2 8.56363404E-5 4.86528873E-10
1.50489844E-2 8.66279588E-5 4.97262453E-10
1.52232433E-2 8.7631066E-5 5.08225961E-10
1.53995203E-2 8.86457856E-5 5.19424004E-10
1.55778388E-2 8.96722559E-5 5.3086141E-10
1.5758222E-2 9.0710615E-5 5.42543011E-10
1.59406923E-2 9.17609941E-5 5.544738E-10
1.61252767E-2 9.28235313E-5 5.66658831E-10
1.63119994E-2 9.38983794E-5 5.7910321E-10
