READ SERR 1
@_compps_qdp_tmp.pco
!
1.00578973E-2 5.78972722E-5 1.04173399E-8
1.0174362E-2 5.85676898E-5 1.06532561E-8
1.02921762E-2 5.92458709E-5 1.08944356E-8
1.04113538E-2 5.99319064E-5 1.11409912E-8
1.05319116E-2 6.06258873E-5 1.13930421E-8
1.06538655E-2 6.13278971E-5 1.16507053E-8
1.07772313E-2 6.20380451E-5 1.19141044E-8
1.09020257E-2 6.27564077E-5 1.21833637E-8
1.10282646E-2 6.3483094E-5 1.24586093E-8
1.11559667E-2 6.42181985E-5 1.27399709E-8
1.12851467E-2 6.49618087E-5 1.30275808E-8
1.14158224E-2 6.57140263E-5 1.33215741E-8
1.15480116E-2 6.64749605E-5 1.36220901E-8
1.16817309E-2 6.72447059E-5 1.39292675E-8
1.18169989E-2 6.80233643E-5 1.42432501E-8
1.19538335E-2 6.88110376E-5 1.45641863E-8
1.20922523E-2 6.96078278E-5 1.48922235E-8
1.22322738E-2 7.04138511E-5 1.52275152E-8
1.23739168E-2 7.12292021E-5 1.55702189E-8
1.25171999E-2 7.20539974E-5 1.59204916E-8
1.26621425E-2 7.2888346E-5 1.62784968E-8
1.28087634E-2 7.37323498E-5 1.66443979E-8
1.29570812E-2 7.45861325E-5 1.70183672E-8
1.31071173E-2 7.54498033E-5 1.74005752E-8
1.32588912E-2 7.63234711E-5 1.77911978E-8
1.34124216E-2 7.72072526E-5 1.81904145E-8
1.35677299E-2 7.81012714E-5 1.85984064E-8
1.37248375E-2 7.90056365E-5 1.90153617E-8
1.3883763E-2 7.9920479E-5 1.94414707E-8
1.40445298E-2 8.08459154E-5 1.9876925E-8
1.42071573E-2 8.17820692E-5 2.03219255E-8
1.43716689E-2 8.27290642E-5 2.07766728E-8
1.45380851E-2 8.36870167E-5 2.12413731E-8
1.47064282E-2 8.46560652E-5 2.17162359E-8
1.48767205E-2 8.56363404E-5 2.22014744E-8
1.50489844E-2 8.66279588E-5 2.26973107E-8
1.52232433E-2 8.7631066E-5 2.3203965E-8
1.53995203E-2 8.86457856E-5 2.37216629E-8
1.55778388E-2 8.96722559E-5 2.42506406E-8
1.5758222E-2 9.0710615E-5 2.47911309E-8
1.59406923E-2 9.17609941E-5 2.53433772E-8
1.61252767E-2 9.28235313E-5 2.59076245E-8
