# Selected line escape depth profiles  iter=25
# Selection: representative escape-physics cases from the per-line summary.
# Selected 1: strongest escaped line; ip=7630; escaped/thin=8.044696e-01; heat_dest/thin=1.954549e-01; label=O  8                18.9689A 
# Selected 2: strongest continuum-destroyed line; ip=7635; escaped/thin=6.618249e-01; heat_dest/thin=3.381619e-01; label=O  8                16.0059A 
# Selected 3: strong line with strong escape attenuation; ip=147879; escaped/thin=2.541495e-01; heat_dest/thin=6.908360e-03; label=Ne 8                770.428A 
# Selected 4: strong line with weak escape attenuation; ip=20397; escaped/thin=9.982693e-01; heat_dest/thin=1.548341e-03; label=O  7                21.8070A 
# Col 1: selected_index
# Col 2: depth index
# Col 3: tau_mid [Thomson]
# Col 4: line_ip [Cloudy LineSave index]
# Col 5: E_eV
# Col 6: thin_line_power [erg cm^-3 s^-1]
# Col 7: escaped_line_power [erg cm^-3 s^-1]
# Col 8: escaped/thin
# Col 9: continuum_destroyed_heat [erg cm^-3 s^-1]
# Col 10: mean_beta [thin-power weighted in this depth]
# Col 11: mean_Pelec [thin-power weighted in this depth]
# Col 12: mean_Pdest [thin-power weighted in this depth]
# Col 13: mean_y [thin-power weighted in this depth]
# Col 14: Cloudy_label
# Col 15: Cloudy_comment
1	0	5.000000000e-05	7630	6.525174424e+02	2.559485265e+06	2.505593431e+06	9.789442686e-01	5.387061541e+04	9.121890177e-03	2.979585089e-06	1.961859987e-04	7.800227689e-08	O  8                18.9689A 	H-like,   1^2S -   2^2P
1	1	1.036207095e-04	7630	6.525174424e+02	2.553158508e+06	2.433564402e+06	9.531583703e-01	1.195471178e+05	4.010647612e-03	3.008155650e-06	1.971679806e-04	7.782377874e-08	O  8                18.9689A 	H-like,   1^2S -   2^2P
1	2	1.115908585e-04	7630	6.525174424e+02	2.552242150e+06	2.426614892e+06	9.507776889e-01	1.255779088e+05	3.807617010e-03	3.009736567e-06	1.972008578e-04	7.780581859e-08	O  8                18.9689A 	H-like,   1^2S -   2^2P
1	3	1.212012520e-04	7630	6.525174424e+02	2.551152465e+06	2.418522137e+06	9.480116025e-01	1.325782411e+05	3.594979044e-03	3.011507661e-06	1.972341917e-04	7.778465627e-08	O  8                18.9689A 	H-like,   1^2S -   2^2P
1	4	1.328737663e-04	7630	6.525174424e+02	2.549852831e+06	2.409068699e+06	9.447873500e-01	1.407288572e+05	3.373910487e-03	3.013489512e-06	1.972673723e-04	7.775968844e-08	O  8                18.9689A 	H-like,   1^2S -   2^2P
1	5	1.471633453e-04	7630	6.525174424e+02	2.548285445e+06	2.397974484e+06	9.410148650e-01	1.502519644e+05	3.145825356e-03	3.015725756e-06	1.972996633e-04	7.772990237e-08	O  8                18.9689A 	H-like,   1^2S -   2^2P
1	6	1.648073531e-04	7630	6.525174424e+02	2.546382840e+06	2.384894791e+06	9.365813946e-01	1.614246891e+05	2.912344471e-03	3.018260649e-06	1.973300979e-04	7.769415629e-08	O  8                18.9689A 	H-like,   1^2S -   2^2P
1	7	1.867956579e-04	7630	6.525174424e+02	2.544055926e+06	2.369390635e+06	9.313437692e-01	1.745967926e+05	2.675246601e-03	3.021144831e-06	1.973574771e-04	7.765102929e-08	O  8                18.9689A 	H-like,   1^2S -   2^2P
1	8	2.144710388e-04	7630	6.525174424e+02	2.541187530e+06	2.350897187e+06	9.251175520e-01	1.902157583e+05	2.436421320e-03	3.024441183e-06	1.973803993e-04	7.759869187e-08	O  8                18.9689A 	H-like,   1^2S -   2^2P
1	9	2.496742590e-04	7630	6.525174424e+02	2.537642173e+06	2.328698226e+06	9.176621709e-01	2.088621056e+05	2.197840330e-03	3.028178319e-06	1.973969945e-04	7.753539476e-08	O  8                18.9689A 	H-like,   1^2S -   2^2P
1	10	2.949553781e-04	7630	6.525174424e+02	2.533219337e+06	2.301835428e+06	9.086601362e-01	2.312933499e+05	1.961544515e-03	3.032423323e-06	1.974048951e-04	7.745835187e-08	O  8                18.9689A 	H-like,   1^2S -   2^2P
1	11	3.538838593e-04	7630	6.525174424e+02	2.527719058e+06	2.269110680e+06	8.976910121e-01	2.585072590e+05	1.729700883e-03	3.037079655e-06	1.974012750e-04	7.736612022e-08	O  8                18.9689A 	H-like,   1^2S -   2^2P
1	12	4.315067055e-04	7630	6.525174424e+02	2.520826242e+06	2.228910356e+06	8.841983311e-01	2.918018688e+05	1.504649515e-03	3.042073156e-06	1.973821970e-04	7.725579270e-08	O  8                18.9689A 	H-like,   1^2S -   2^2P
1	13	5.350291033e-04	7630	6.525174424e+02	2.512046698e+06	2.179089527e+06	8.674558193e-01	3.328272949e+05	1.288991812e-03	3.047374742e-06	1.973420102e-04	7.712209429e-08	O  8                18.9689A 	H-like,   1^2S -   2^2P
1	14	6.748299957e-04	7630	6.525174424e+02	2.500794964e+06	2.117030638e+06	8.465430666e-01	3.836148608e+05	1.085628496e-03	3.052608739e-06	1.972735976e-04	7.696148463e-08	O  8                18.9689A 	H-like,   1^2S -   2^2P
1	15	8.659814056e-04	7630	6.525174424e+02	2.486311039e+06	2.039637846e+06	8.203470176e-01	4.464995282e+05	8.976172582e-04	3.056924099e-06	1.971676483e-04	7.677223827e-08	O  8                18.9689A 	H-like,   1^2S -   2^2P
1	16	1.130522829e-03	7630	6.525174424e+02	2.467585526e+06	1.943528158e+06	7.876234226e-01	5.238539945e+05	7.278683797e-04	3.058642607e-06	1.970123452e-04	7.655645732e-08	O  8                18.9689A 	H-like,   1^2S -   2^2P
1	17	1.500859898e-03	7630	6.525174424e+02	2.443622304e+06	1.825767673e+06	7.471562482e-01	6.176152495e+05	5.787055079e-04	3.053724075e-06	1.967957800e-04	7.633564666e-08	O  8                18.9689A 	H-like,   1^2S -   2^2P
1	18	2.024819479e-03	7630	6.525174424e+02	2.412493765e+06	1.684048792e+06	6.980531168e-01	7.281630234e+05	4.514218711e-04	3.036423272e-06	1.965024572e-04	7.613665365e-08	O  8                18.9689A 	H-like,   1^2S -   2^2P
1	19	2.773108397e-03	7630	6.525174424e+02	2.370710225e+06	1.517729452e+06	6.402003229e-01	8.526505382e+05	3.460963841e-04	2.998157111e-06	1.961190435e-04	7.599921469e-08	O  8                18.9689A 	H-like,   1^2S -   2^2P
