# Per-line escape summary  iter=25
# Sorted by slab-integrated escaped line power.
# Col 1: rank
# Col 2: line_ip [Cloudy LineSave index]
# Col 3: E_eV
# Col 4: Cloudy wavelength label value
# Col 5: thin_line_power [erg cm^-3 s^-1, depth-summed]
# Col 6: escaped_line_power [erg cm^-3 s^-1, depth-summed]
# Col 7: continuum_destroyed_heat [erg cm^-3 s^-1, depth-summed]
# Col 8: escaped/thin
# Col 9: heat_dest/thin
# Col 10: mean_beta [thin-power weighted]
# Col 11: mean_Pelec [thin-power weighted]
# Col 12: mean_Pdest [thin-power weighted]
# Col 13: mean_y [thin-power weighted]
# Col 14: mean_tauT_emiss [thin-power weighted]
# Col 15: max_column_tau_line
# Col 16: Cloudy_label
# Col 17: Cloudy_comment
1	7630	6.525174424e+02	1.896891212e+01	6.060683193e+07	4.875635280e+07	1.184590381e+07	8.044695829e-01	1.954549253e-01	2.034379592e-03	2.951359553e-06	1.988956729e-04	7.746829801e-08	1.990905446e-03	1.246449999e+04	O  8                18.9689A 	H-like,   1^2S -   2^2P
2	4279	4.077849115e+01	3.037835999e+02	3.368787451e+07	2.724408073e+07	6.284817218e+05	8.087206786e-01	1.865602182e-02	8.052364401e-02	1.201211816e-04	1.233777850e-04	2.386420209e-04	9.530822038e-03	8.943972667e+08	He 2                303.784A 	H-like,   1^2S -   2^2P
3	20397	5.705040845e+02	2.180701637e+01	2.699000580e+07	2.694329384e+07	4.178973357e+04	9.982692869e-01	1.548341037e-03	4.444278009e-01	3.138213887e-02	5.550171819e-04	1.122121577e-04	4.487309281e-03	5.915297974e+00	O  7                21.8070A 	He-like,   1^1S -   2^3P_1.0
4	22108	9.129036487e+02	1.355288982e+01	1.393077305e+07	1.391457706e+07	1.608139056e+04	9.988373947e-01	1.154378906e-03	4.797370490e-01	1.284666406e-02	5.197432078e-04	7.197216009e-06	2.707290678e-03	2.496029234e+00	Ne 9                13.5529A 	He-like,   1^1S -   2^3P_1.0
5	127539	4.361108229e+01	2.841629944e+02	2.652404227e+07	1.363586806e+07	3.755246638e+04	5.140946437e-01	1.415789720e-03	2.372214629e-03	3.977797074e-06	3.250948128e-06	1.121316506e-03	2.066770656e-03	5.172615745e+03	Fe15                284.163A 	Chianti, 
6	155874	2.470950003e+01	4.994060059e+02	2.911318084e+07	1.237755401e+07	1.202030497e+05	4.251529256e-01	4.128818845e-03	1.088097369e-02	1.255006257e-05	5.242599836e-05	7.418229376e-03	2.353533515e-03	1.906945208e+03	Si12                499.406A 	Chianti, 
7	4284	4.843914294e+01	2.563169556e+02	1.219148186e+07	1.111217578e+07	4.890511384e+05	9.114704760e-01	4.011416692e-02	1.732338048e-01	6.831949890e-04	4.237453705e-04	5.586014513e-05	8.299013261e-03	1.438817842e+08	He 2                256.317A 	H-like,   1^2S - n=  3
8	5696	3.669371149e+02	3.373597336e+01	1.419733710e+07	1.089132241e+07	3.303763935e+06	7.671383961e-01	2.327030705e-01	1.092113210e-02	1.596393168e-05	5.795109422e-04	4.320589105e-07	3.944928873e-03	9.478648947e+03	C  6                33.7360A 	H-like,   1^2S -   2^2P
9	87689	2.024245079e+01	6.097932739e+02	2.769574068e+07	9.821437589e+06	1.531870108e+05	3.546190623e-01	5.531067488e-03	1.314860008e-02	1.501992016e-05	1.114009487e-04	1.290953968e-02	3.672512784e-03	3.566672157e+03	Mg10                609.793A 	Stout, 2s 2S0.5 -- 1s2.2p 2P*3/2
10	128479	3.704798206e+01	3.354089966e+02	1.642912736e+07	9.340182232e+06	4.310724039e+04	5.685135932e-01	2.623830191e-03	6.335928001e-03	8.970315934e-06	1.175885046e-05	2.001932954e-03	1.759594736e-03	1.772358695e+03	Fe16                335.409A 	Chianti, 
11	7635	7.755180475e+02	1.600589943e+01	1.314968997e+07	8.702792240e+06	4.446723775e+06	6.618248993e-01	3.381618719e-01	7.008552734e-03	1.829362964e-05	9.919994478e-04	3.910853941e-08	1.989071100e-03	2.054972130e+03	O  8                16.0059A 	H-like,   1^2S - n=  3
12	155869	2.379405114e+01	5.206649780e+02	1.495516622e+07	7.913064310e+06	9.923258391e+04	5.291191145e-01	6.635338078e-03	2.206290325e-02	2.483194448e-05	1.152621019e-04	8.392207869e-03	2.363901290e-03	9.532441813e+02	Si12                520.665A 	Chianti, 
13	155644	4.077849115e+01	3.033250122e+02	1.041666869e+07	7.122415439e+06	3.850128689e+04	6.837517491e-01	3.696122822e-03	1.323881204e-02	1.683765927e-05	1.669060192e-05	1.346284997e-03	2.948587754e-03	2.580390180e+03	Si11                303.325A 	Chianti, 
